"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Adrián Spörle","https://www.transfermarkt.com/adrian-sporle/profil/spieler/440371","20/21","Groin problems",2020-10-05,2020-10-26,"21 days","5","Dundee United FC"
"Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/441408","23/24","Knee surgery",2024-01-24,2024-04-03,"70 days","6","Portland Timbers"
"Claudio Bravo","https://www.transfermarkt.com/claudio-bravo/profil/spieler/441408","22/23","Calf injury",2023-04-20,2023-04-28,"8 days","2","Portland Timbers"
"Franco Quinteros","https://www.transfermarkt.com/franco-quinteros/profil/spieler/567241","23/24","Torn muscle bundle",2023-09-12,2023-09-28,"16 days","3","CA Banfield"
"Franco Quinteros","https://www.transfermarkt.com/franco-quinteros/profil/spieler/567241","20/21","Corona virus",2020-08-09,2020-08-23,"14 days",NA,"CA Banfield"
"Luciano Gómez","https://www.transfermarkt.com/luciano-gomez/profil/spieler/423705","22/23","Torn muscle bundle",2023-04-24,2023-05-11,"17 days","3","CA Independiente"
"Luciano Gómez","https://www.transfermarkt.com/luciano-gomez/profil/spieler/423705","20/21","Corona virus",2021-04-02,2021-04-16,"14 days","2","CA Banfield"
"Emanuel Coronel","https://www.transfermarkt.com/emanuel-coronel/profil/spieler/565194","22/23","Torn thigh muscle",2023-04-09,2023-04-21,"12 days","2","CA Banfield"
"Emanuel Coronel","https://www.transfermarkt.com/emanuel-coronel/profil/spieler/565194","20/21","Corona virus",2021-04-02,2021-04-23,"21 days","3","CA Banfield"
"Jorge Rodríguez","https://www.transfermarkt.com/jorge-rodriguez/profil/spieler/333760","23/24","Knock",2023-09-10,2023-09-17,"7 days","1","Club Estudiantes de La Plata"
"Nicolás Linares","https://www.transfermarkt.com/nicolas-linares/profil/spieler/534616","23/24","Ankle problems",2023-10-30,2023-12-09,"40 days","3","Instituto ACC"
"Nicolás Linares","https://www.transfermarkt.com/nicolas-linares/profil/spieler/534616","23/24","Knee problems",2023-07-24,2023-08-06,"13 days","2","Instituto ACC"
"Nicolás Linares","https://www.transfermarkt.com/nicolas-linares/profil/spieler/534616","20/21","Corona virus",2020-08-09,2020-08-23,"14 days",NA,"Instituto ACC"
"Jesús Dátolo","https://www.transfermarkt.com/jesus-datolo/profil/spieler/30759","20/21","Corona virus",2021-04-02,2021-04-16,"14 days","2","CA Banfield"
"Jesús Dátolo","https://www.transfermarkt.com/jesus-datolo/profil/spieler/30759","20/21","Corona virus",2021-04-02,2021-04-16,"14 days","2","Argentina"
"Giuliano Galoppo","https://www.transfermarkt.com/giuliano-galoppo/profil/spieler/567249","22/23","Knee injury",2023-03-13,2023-11-17,"249 days","54","São Paulo Futebol Clube"
"Giuliano Galoppo","https://www.transfermarkt.com/giuliano-galoppo/profil/spieler/567249","20/21","Corona virus",2021-04-04,2021-04-16,"12 days","2","CA Banfield"
"Giuliano Galoppo","https://www.transfermarkt.com/giuliano-galoppo/profil/spieler/567249","18/19","Cruciate ligament tear",2019-04-22,2019-10-22,"183 days","11","CA Banfield"
"Nicolás Bertolo","https://www.transfermarkt.com/nicolas-bertolo/profil/spieler/52903","22/23","Stomach flu",2023-06-02,2023-06-05,"3 days","1","CA Banfield"
"Nicolás Bertolo","https://www.transfermarkt.com/nicolas-bertolo/profil/spieler/52903","22/23","Ligament injury",2023-04-24,2023-05-08,"14 days","2","CA Banfield"
"Nicolás Bertolo","https://www.transfermarkt.com/nicolas-bertolo/profil/spieler/52903","22/23","Knee injury",2023-02-24,2023-04-05,"40 days","5","CA Banfield"
"Nicolás Silva","https://www.transfermarkt.com/nicolas-silva/profil/spieler/422914","23/24","unknown injury",2024-04-22,NA,"16 days","2","Cusco FC"
"Agustín Urzi","https://www.transfermarkt.com/agustin-urzi/profil/spieler/636441","23/24","ankle sprain",2024-02-26,2024-03-08,"11 days","2","Racing Club"
"Reinaldo Lenis","https://www.transfermarkt.com/reinaldo-lenis/profil/spieler/268093","22/23","Knee injury",2022-12-04,2023-01-04,"31 days","4","Al-Adalah FC"
"Reinaldo Lenis","https://www.transfermarkt.com/reinaldo-lenis/profil/spieler/268093","20/21","Torn muscle bundle",2021-01-25,2021-02-17,"23 days",NA,"Al-Adalah FC"
"Juan Pablo Álvarez","https://www.transfermarkt.com/juan-pablo-alvarez/profil/spieler/534615","23/24","Muscle injury",2024-02-09,2024-03-14,"34 days","7","CA Banfield"
"Juan Pablo Álvarez","https://www.transfermarkt.com/juan-pablo-alvarez/profil/spieler/534615","23/24","muscular problems",2023-10-06,2023-10-26,"20 days","3","CA Banfield"
"Juan Pablo Álvarez","https://www.transfermarkt.com/juan-pablo-alvarez/profil/spieler/534615","20/21","Corona virus",2021-04-04,2021-04-16,"12 days","2","CA Banfield"
"Julián Carranza","https://www.transfermarkt.com/julian-carranza/profil/spieler/491707","23/24","concussion",2023-09-25,2023-09-30,"5 days","1","Philadelphia Union"
"Julián Carranza","https://www.transfermarkt.com/julian-carranza/profil/spieler/491707","19/20","Foot injury",2020-01-30,2020-06-30,"152 days","2","Inter Miami CF"
"Julián Carranza","https://www.transfermarkt.com/julian-carranza/profil/spieler/491707","18/19","Knee injury",2018-08-20,2018-10-10,"51 days","8","CA Banfield"
"Agustín Fontana","https://www.transfermarkt.com/agustin-fontana/profil/spieler/345229","21/22","Hamstring injury",2021-07-23,2021-08-11,"19 days","5","CA River Plate"
"Lucas Chaves","https://www.transfermarkt.com/lucas-chaves/profil/spieler/360791","21/22","Broken ankle",2021-09-16,2021-12-31,"106 days","16","AA Argentinos Juniors"
"Federico Lanzillotta","https://www.transfermarkt.com/federico-lanzillotta/profil/spieler/267906","23/24","Muscle injury",2023-08-08,2023-09-17,"40 days","7","AA Argentinos Juniors"
"Federico Lanzillotta","https://www.transfermarkt.com/federico-lanzillotta/profil/spieler/267906","20/21","Facial fracture",2021-01-26,2021-06-30,"155 days","40","CD Palestino"
"Federico Lanzillotta","https://www.transfermarkt.com/federico-lanzillotta/profil/spieler/267906","17/18","Torn lateral knee ligament",2017-07-21,2018-01-31,"194 days","15","AA Argentinos Juniors"
"Federico Lanzillotta","https://www.transfermarkt.com/federico-lanzillotta/profil/spieler/267906","23/24","Muscle injury",2023-08-08,2023-09-17,"40 days","7","AA Argentinos Juniors"
"Nehuén Pérez","https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693","22/23","Muscle fatigue",2023-02-17,2023-02-26,"9 days","2","Udinese Calcio"
"Nehuén Pérez","https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693","21/22","Ankle sprain",2022-03-14,2022-04-02,"19 days","3","Udinese Calcio"
"Nehuén Pérez","https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693","21/22","unknown injury",2021-10-03,2021-10-23,"20 days","5","Argentina"
"Nehuén Pérez","https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693","22/23","Muscle fatigue",2023-02-17,2023-02-26,"9 days","2","Udinese Calcio"
"Nehuén Pérez","https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693","21/22","Ankle sprain",2022-03-14,2022-04-02,"19 days","3","Argentina"
"Jonathan Galván","https://www.transfermarkt.com/jonathan-galvan/profil/spieler/216730","23/24","Meniscus injury",2024-02-27,2024-03-24,"26 days","5","AA Argentinos Juniors"
"Jonathan Galván","https://www.transfermarkt.com/jonathan-galvan/profil/spieler/216730","18/19","Achilles tendon rupture",2019-05-24,2019-11-24,"184 days","20","AA Argentinos Juniors"
"Jonathan Galván","https://www.transfermarkt.com/jonathan-galvan/profil/spieler/216730","17/18","Torn lateral knee ligament",2018-04-12,2018-10-18,"189 days","20","CA Colón"
"Leonel Mosevich","https://www.transfermarkt.com/leonel-mosevich/profil/spieler/407517","22/23","Torn muscle bundle",2023-03-12,2023-03-30,"18 days","1","Instituto ACC"
"Leonel Mosevich","https://www.transfermarkt.com/leonel-mosevich/profil/spieler/407517","21/22","unknown injury",2022-07-30,2022-08-08,"9 days","2","CA Patronato"
"Leonel Mosevich","https://www.transfermarkt.com/leonel-mosevich/profil/spieler/407517","21/22","unknown injury",2022-04-16,2022-05-01,"15 days","4","CA Patronato"
"Miguel Torrén","https://www.transfermarkt.com/miguel-torren/profil/spieler/19992","23/24","Muscle injury",2024-02-21,2024-03-04,"12 days","2","CA Unión (Santa Fe)"
"Miguel Torrén","https://www.transfermarkt.com/miguel-torren/profil/spieler/19992","22/23","Muscle injury",2023-05-05,2023-05-29,"24 days","5","AA Argentinos Juniors"
"Miguel Torrén","https://www.transfermarkt.com/miguel-torren/profil/spieler/19992","22/23","Torn muscle bundle",2023-04-03,2023-04-18,"15 days","4","AA Argentinos Juniors"
"Miguel Torrén","https://www.transfermarkt.com/miguel-torren/profil/spieler/19992","21/22","Torn muscle bundle",2021-10-04,2021-10-31,"27 days","6","AA Argentinos Juniors"
"Maximiliano Centurión","https://www.transfermarkt.com/maximiliano-centurion/profil/spieler/665933","23/24","Cruciate ligament tear",2023-08-21,2024-04-20,"243 days","24","Arsenal FC"
"Maximiliano Centurión","https://www.transfermarkt.com/maximiliano-centurion/profil/spieler/665933","22/23","Torn muscle bundle",2023-04-30,2023-05-24,"24 days","4","Arsenal FC"
"Marcos Angeleri","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","18/19","fracture",2018-09-02,2018-10-16,"44 days","5","Club Nacional"
"Marcos Angeleri","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448","18/19","fracture",2018-09-02,2018-10-16,"44 days","5","Sunderland AFC"
"Adrián Colombino","https://www.transfermarkt.com/adrian-colombino/profil/spieler/203716","23/24","Arthroscopy",2023-07-03,2023-10-09,"98 days","7","Panserraikos"
"Adrián Colombino","https://www.transfermarkt.com/adrian-colombino/profil/spieler/203716","22/23","unknown injury",2023-01-29,2023-04-06,"67 days","5","Panserraikos"
"Adrián Colombino","https://www.transfermarkt.com/adrian-colombino/profil/spieler/203716","21/22","unknown injury",2021-12-16,2021-12-20,"4 days","1","AE Larisa"
"Adrián Colombino","https://www.transfermarkt.com/adrian-colombino/profil/spieler/203716","20/21","unknown injury",2020-08-01,2020-08-21,"20 days","3","Montevideo Wanderers"
"Francis Mac Allister","https://www.transfermarkt.com/francis-mac-allister/profil/spieler/440380","23/24","Fitness",2024-04-06,NA,"32 days","5","CA Rosario Central"
