"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","22/23","Fitness",2023-04-11,2023-04-20,"9 days","2","Fenerbahce"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","22/23","unknown injury",2023-02-24,2023-04-11,"46 days","8","Fenerbahce"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","22/23","Fitness",2022-12-16,2023-01-04,"19 days","4","Fenerbahce"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","22/23","Knee injury",2022-09-15,2022-12-16,"92 days","13","Fenerbahce"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","21/22","Knock",2022-02-12,2022-02-16,"4 days","1","Olympique Marseille"
"Luan Peres","https://www.transfermarkt.com/luan-peres/profil/spieler/347913","20/21","Corona virus",2020-11-19,2020-11-05,"14 days",NA,"Fenerbahce"
"Wagner Leonardo","https://www.transfermarkt.com/wagner-leonardo/profil/spieler/671572","20/21","Corona virus",2021-01-10,2021-01-17,"7 days",NA,NA
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","23/24","Knock",2024-01-01,NA,"128 days",NA,"FC Basel 1893"
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","22/23","Cruciate ligament tear",2023-02-23,2023-12-31,"311 days",NA,"AS Monaco"
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","20/21","Cruciate ligament tear",2020-12-17,2021-06-30,"195 days",NA,"AS Monaco"
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","20/21","unknown injury",2020-11-26,2020-12-15,"19 days","4","CR Flamengo"
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","17/18","Bruised knee",2018-04-21,2018-06-29,"69 days","5","FC Basel 1893"
"Jorge","https://www.transfermarkt.com/jorge/profil/spieler/345084","17/18","Bruised knee",2018-01-20,2018-02-26,"37 days","8","AS Monaco"
