"player_age","Overall","Wage","Skill Moves","Contract Valid Until","in_squad","expenditure_euros_seller","income_euros_seller","avg_age_in_seller","expenditure_euros_buyer","income_euros_buyer","avg_age_in_buyer","appearances_2022","goals_2022","proyecto_vendedor","transfer_logaritmo","fisico","esfuerzo","balance_buyer","balance_seller","Preferred Foot","is_loan","window","player_position","league_buyer","same_league","valor_league_seller","nacionalidad","salud"
24.0,69.0,0.0,1.0,2025.0,48.0,3.836E7,2.516E7,22.6,3.836E7,4.88E7,22.5,37.0,14.0,3.0,16.523560759066484,3.0,4.0,1.044E7,-1.32E7,1.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0
22.0,70.0,12000.0,3.0,2025.0,3.0,3.836E7,1.689E7,22.5,3.836E7,4.88E7,22.5,45.0,22.0,3.0,16.300417207752275,3.0,7.0,1.044E7,-2.147E7,2.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,3.0
21.0,73.0,14000.0,4.0,2024.0,34.0,3.836E7,9.586E7,23.4,3.836E7,4.88E7,22.5,30.0,0.0,3.0,15.889939557820565,3.0,7.0,1.044E7,5.75E7,2.0,2.0,1.0,7.0,1.0,1.0,3.0,3.0,3.0
21.0,69.0,0.0,1.0,2025.0,38.0,3.836E7,2050000.0,25.5,3.836E7,4.88E7,22.5,26.0,0.0,1.0,14.077874822431763,3.0,4.0,1.044E7,-3.631E7,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
20.0,74.0,1000.0,4.0,2025.0,6.0,3.836E7,1100000.0,23.781851000984613,3.836E7,4.88E7,22.5,0.0,0.0,3.0,13.9108207377686,1.0,7.0,1.044E7,-3.726E7,1.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0
24.0,80.0,41000.0,4.0,2025.0,44.0,1.026E8,7.24E7,25.1,3.836E7,4.88E7,22.5,27.99624530663329,4.078848560700876,1.0,13.815510557964274,4.0,5.0,1.044E7,-3.02E7,1.0,1.0,1.0,8.0,1.0,1.0,3.0,3.0,3.0
22.0,76.0,20000.0,3.0,2026.0,32.0,4.74E7,9.586E7,23.4,4.74E7,1.765E7,23.9,15.0,2.0,3.0,16.569171270318538,4.0,7.0,-2.975E7,4.846E7,2.0,2.0,1.0,8.0,1.0,1.0,3.0,2.0,3.0
25.0,78.0,57000.0,3.0,2026.0,35.0,1.4456E8,1.7256E8,24.9,4.74E7,1.765E7,23.9,0.0,0.0,3.0,16.364955728889846,7.0,7.0,-2.975E7,2.8E7,1.0,2.0,1.0,10.0,1.0,1.0,3.0,2.0,2.0
23.0,74.0,4000.0,2.0,2024.0,37.0,4.74E7,1.498E7,24.5,4.74E7,1.765E7,23.9,22.0,0.0,3.0,15.761420707019589,5.0,7.0,-2.975E7,-3.242E7,1.0,2.0,1.0,13.0,1.0,1.0,3.0,3.0,3.0
27.0,75.0,45000.0,4.0,2024.0,36.0,7.075E7,1.2995E8,27.6,4.74E7,1.765E7,23.9,25.0,0.0,1.0,15.201804919084164,1.0,4.0,-2.975E7,5.92E7,1.0,2.0,1.0,6.0,1.0,1.0,3.0,3.0,2.0
